Archivo 1,Archivo 2,¿Plagio?,Tipo,% Similitud
adjacency_list.py,adjacency_list_dijkstra_tipo0.py,No,(),2.5
adjacency_list.py,adjacency_list_prims_tipo0.py,No,(),0.93
adjacency_list.py,adjacency_list_tipo2.py,Sí,"(np.int64(2),)",38.38
adjacency_list.py,adjacency_list_tipo3.py,Sí,"(np.int64(3),)",38.38
adjacency_list.py,astar.py,No,(),1.07
adjacency_list.py,astar_dfs_tipo0.py,No,(),1.62
adjacency_list.py,astar_tipo2.py,No,(),1.07
adjacency_list.py,astar_tipo3.py,No,(),1.07
adjacency_list.py,decimal_to-binary_tipo3_copiatipo1.py,No,"(np.int64(1), np.int64(3))",4.91
adjacency_list_dijkstra_tipo0.py,adjacency_list_prims_tipo0.py,No,"(np.int64(1),)",1.58
adjacency_list_dijkstra_tipo0.py,adjacency_list_tipo2.py,No,(),2.5
adjacency_list_dijkstra_tipo0.py,adjacency_list_tipo3.py,No,(),2.5
adjacency_list_dijkstra_tipo0.py,astar.py,No,(),1.56
adjacency_list_dijkstra_tipo0.py,astar_dfs_tipo0.py,No,(),2.84
adjacency_list_dijkstra_tipo0.py,astar_tipo2.py,No,(),1.56
adjacency_list_dijkstra_tipo0.py,astar_tipo3.py,No,(),1.56
adjacency_list_dijkstra_tipo0.py,decimal_to-binary_tipo3_copiatipo1.py,No,"(np.int64(1), np.int64(3))",3.93
adjacency_list_prims_tipo0.py,adjacency_list_tipo2.py,No,(),0.93
adjacency_list_prims_tipo0.py,adjacency_list_tipo3.py,No,(),0.93
adjacency_list_prims_tipo0.py,astar.py,No,(),0.73
adjacency_list_prims_tipo0.py,astar_dfs_tipo0.py,No,(),1.64
adjacency_list_prims_tipo0.py,astar_tipo2.py,No,(),0.73
adjacency_list_prims_tipo0.py,astar_tipo3.py,No,(),0.73
adjacency_list_prims_tipo0.py,decimal_to-binary_tipo3_copiatipo1.py,No,"(np.int64(1), np.int64(3))",6.87
adjacency_list_tipo2.py,adjacency_list_tipo3.py,Sí,"(np.int64(3),)",50.5
adjacency_list_tipo2.py,astar.py,No,(),1.07
adjacency_list_tipo2.py,astar_dfs_tipo0.py,No,(),1.62
adjacency_list_tipo2.py,astar_tipo2.py,No,(),1.07
adjacency_list_tipo2.py,astar_tipo3.py,No,(),1.07
adjacency_list_tipo2.py,decimal_to-binary_tipo3_copiatipo1.py,No,"(np.int64(1), np.int64(3))",4.91
adjacency_list_tipo3.py,astar.py,No,(),1.07
adjacency_list_tipo3.py,astar_dfs_tipo0.py,No,(),1.62
adjacency_list_tipo3.py,astar_tipo2.py,No,(),1.07
adjacency_list_tipo3.py,astar_tipo3.py,No,(),1.07
adjacency_list_tipo3.py,decimal_to-binary_tipo3_copiatipo1.py,No,"(np.int64(1), np.int64(3))",4.91
astar.py,astar_dfs_tipo0.py,No,(),1.61
astar.py,astar_tipo2.py,Sí,"(np.int64(3),)",38.73
astar.py,astar_tipo3.py,Sí,"(np.int64(2),)",50.5
astar.py,decimal_to-binary_tipo3_copiatipo1.py,No,(),3.92
astar_dfs_tipo0.py,astar_tipo2.py,No,"(np.int64(2),)",1.61
astar_dfs_tipo0.py,astar_tipo3.py,No,"(np.int64(3),)",1.61
astar_dfs_tipo0.py,decimal_to-binary_tipo3_copiatipo1.py,No,(),3.94
astar_tipo2.py,astar_tipo3.py,Sí,"(np.int64(3),)",38.73
astar_tipo2.py,decimal_to-binary_tipo3_copiatipo1.py,No,(),3.92
astar_tipo3.py,decimal_to-binary_tipo3_copiatipo1.py,No,(),3.92
